first_name,last_name
http://www.gov.cn/zhuanti/zggcddescqgdbdh/index.htm,"
<img class=""imgpc"" src=""https://www.gov.cn/govweb/xhtml/2019zhuanti/20thCPCNationalCongress/images/danghuiicon.png""/>
<img alt="""" class=""imgshouji"" src=""https://www.cnipa.gov.cn/picture/0/2210150200097662386.jpg""/>
"
http://znwd.cnipr.com/,"<img alt="""" src=""/picture/0/2203040933275256228.gif""/>"
/col/col2793/index.html,"<img alt="""" src=""/picture/0/1cd90d13b6714f438b4865e0bcafee94.png""/>"
https://www.cnipa.gov.cn/art/2022/10/8/art_53_179101.html,"<img alt="""" src=""/picture/0/2210081550074859120.png""/>"
/picture/0/s_b0c8901bd374426280c2f097f189c7db.png,"
<img alt="""" height=""auto"" src=""/picture/0/s_b0c8901bd374426280c2f097f189c7db.png"" style="""" width=""135""/>
"
http://www.gov.cn/xinwen/2022-10/26/content_5721751.htm,习近平：全面学习把握落实党的二十大精神 奋力夺取全面建设社会主义现代化国家新胜利
http://www.gov.cn/xinwen/2022-10/26/content_5721751.htm,习近平主持二十届中共中央政治局第一次集体学习 | 全党要在全面学习、全面把握、全面落实上下功夫 坚定不移把党的二十大提出的目标任务落到实处 奋力夺取全面建设社会主义现代化国家新胜利
/col/col3081/index.html,"<img src=""/picture/0/2210161118216516156.jpg""/>"
/col/col2741/index.html,"<img src=""/picture/0/2210161118216343215.jpg""/>"
https://www.cnipa.gov.cn/col/col2859/index.html,
http://www.scio.gov.cn/xwfbh/xwbfbh/wqfbh/47673/48204/index.htm,"<img alt="""" src=""/picture/0/2204240932385228313.png""/>"
https://dianbo.cnipa.gov.cn/static/2022qidong/,"<img alt="""" src=""/picture/0/2204191822261957745.png""/>"
http://kfr.cnipa.gov.cn/2022/,"<img alt="""" src=""/picture/0/2204241101272057212.png""/>"
http://kfr.cnipa.gov.cn/2022/720/kfr,"<img alt="""" src=""/picture/0/2204191823566902882.png""/>"
https://www.cnipa.gov.cn/col/col2775/index.html,"<img src=""/picture/0/2111301722009773193.jpg""><p><span>深入学习贯彻习近平总书记在主持中央政治局第二十五次集体学习时的重要讲话精神一年回顾与展望</span></p></img>"
https://www.cnipa.gov.cn/art/2022/10/25/art_51_179815.html,"<img src=""/picture/0/2210251829519105935.jpg""><p><span>国家知识产权局召开传达学习贯彻党的二十大精神大会</span></p></img>"
https://www.cnipa.gov.cn/art/2022/9/22/art_51_178895.html,"<img src=""/picture/0/2209220859072215592.png""><p><span>中国国家知识产权局主办第十四次金砖国家知识产权局局长视频会议</span></p></img>"
https://www.cnipa.gov.cn/art/2022/9/20/art_51_178851.html,"<img src=""/picture/0/2209200924244393056.jpg""><p><span>数据知识产权工作指导专家组第一次全体会议在京召开</span></p></img>"
/col/col52/index.html,时政要闻
/col/col53/index.html,局要闻
/col/col55/index.html,媒体视点
http://www.gov.cn/xinwen/2022-10/25/content_5721631.htm,中共中央政治局召开会议 习近平主持会议
http://www.news.cn/politics/cpc20/2022-10/25/c_1129079429.htm,习近平：高举中国特色社会主义伟大旗帜 为全面建设社会主义现代化国家而团结奋斗——在中国共产党第二十次全国代表大会上的报告
http://www.gov.cn/xinwen/2022-10/25/content_5721613.htm,新征程领路人习近平
http://www.gov.cn/xinwen/2022-10/24/content_5721222.htm,领航新时代新征程新辉煌的坚强领导集体——党的新一届中央领导机构产生纪实
http://www.gov.cn/xinwen/2022-10/23/content_5721019.htm#1,中共二十届中央领导机构成员简历
http://www.gov.cn/xinwen/2022-10/23/content_5720998.htm,习近平：始终坚持一切为了人民一切依靠人民 以中国式现代化全面推进中华民族伟大复兴
http://www.gov.cn/xinwen/2022-10/23/content_5720983.htm,中国共产党第二十届中央委员会第一次全体会议公报
/art/2022/10/25/art_53_179814.html,国家知识产权局召开传达学习贯彻党的二十大精神大会
/art/2022/10/17/art_53_179373.html,国家知识产权局组织党员干部职工认真收听收看党的二十大开幕盛况 学习领会党的二十大报告精神
/art/2022/10/22/art_53_179703.html,党的二十大报告在知识产权系统引发热烈反响（四）
/art/2022/10/21/art_53_179631.html,党的二十大报告在知识产权系统引发热烈反响（三）
/art/2022/10/19/art_53_179485.html,党的二十大报告在知识产权系统引发热烈反响（二）
/art/2022/10/17/art_53_179386.html,党的二十大报告在知识产权系统引发热烈反响
/art/2022/10/4/art_53_179087.html,国家知识产权局党组理论学习中心组举行专题学习会
/art/2022/10/12/art_55_179195.html,“解码”田间科技 拥抱农业未来（知识产权报）
/art/2022/9/30/art_55_179076.html,贯彻纲要迎盛会 奋发有为建强市（知识产权报）
/art/2022/9/23/art_55_178971.html,协同保护看“浙”里 强本固基提质效（知识产权报）
/art/2022/9/16/art_55_178764.html,小剧场“快放”维权 “快保护”深入人心（知识产权报）
/art/2022/9/14/art_55_178706.html,凝聚解纷“大合力” 强化保护“全链条”（知识产权报）
/art/2022/9/9/art_55_178620.html,十年来，社会满意度全方位显著提升（知识产权报）
/art/2022/9/7/art_55_178531.html,拓展快速制止专利侵权行为新渠道（知识产权报）
/col/col52/index.html,查看更多
/col/col53/index.html,查看更多
/col/col55/index.html,查看更多
/col/col62/index.html,政府信息公开
/col/col74/index.html,公告公报
/col/col75/index.html,工作通知
/col/col66/index.html,政策解读
